0
Atropello a carabinero: decretan prisión preventiva y arresto domiciliario total para involucrados
Caso de procedimiento policial en San Antonio: Uno de los dos detenidos queda en prisión preventiva tras formalización | Emol.com
San Antonio: Tribunal determina prisión preventiva y arresto domiciliario para sujetos que acompañaban a conductor fallecido
Carabinero atropellado en San Antonio se encuentra estable y fuera de riesgo vital
Sujeto muere tras recibir disparo de carabinero en San Antonio
"""Se escucharon varios disparos"": El relato de vecinos sobre el procedimiento policial que dejó un fallecido en San Antonio | Emol.com"
Carabinero que abatió a sujeto que atropelló a funcionario en San Antonio utilizó subametralladora UZI
Ministra Carolina Tohá: “Pegándole al Presidente Boric no vamos a mejorar la situación de seguridad”
"Tohá: ""Es un desafío enorme para el logro del programa de gobierno detener la crisis de inseguridad"""
"Carolina Tohá, ministra del Interior: ""Los datos de la seguridad no son mejores en los gobiernos de derecha"""
